id,title,designer,notes,description,url,img_url,img_id,tags
52787,Lemon Hair Mist The Body Shop for women,"['the', 'body', 'shop', 'perfumes', 'and', 'colognes']","Lemon, Citruses, Citruseswater","['Lemon', 'Hair', 'Mist', 'by', 'The', 'Body', 'Shop', 'is', 'a', 'Citrus', 'fragrance', 'for', 'women.', 'Lemon', 'Hair', 'Mist', 'was', 'launched', 'in', '2021.']",https://www.fragrantica.com/perfume/The-Body-Shop/Lemon-Hair-Mist-69835.html,https://fimgs.net/mdimg/perfume/375x500.69835.jpg,69835,lemon citruses citruseswater lemon hair mist by the body shop is a citrus fragrance for women. lemon hair mist was launched in 2021. the body shop perfumes and colognes
19992,Uralt Lavendel Lohse for women and men,"['lohse', 'perfumes', 'and', 'colognes']","Lavender, Herbalnotes","['Uralt', 'Lavendel', 'by', 'Lohse', 'is', 'a', 'Aromatic', 'fragrance', 'for', 'women', 'and', 'men.', 'Uralt', 'Lavendel', 'was', 'launched', 'in', '1910.']",https://www.fragrantica.com/perfume/Lohse/Uralt-Lavendel-55342.html,https://fimgs.net/mdimg/perfume/375x500.55342.jpg,55342,lavender herbalnotes uralt lavendel by lohse is a aromatic fragrance for women and men. uralt lavendel was launched in 1910. lohse perfumes and colognes
43812,Femme Voyage The Dua Brand for women,"['the', 'dua', 'brand', 'perfumes', 'and', 'colognes']","Madagascarvanilla, Powderynotes, Rosepetals, Whitemusk, Jasmine, Honey, Sugar, Pear, Lime","['Femme', 'Voyage', 'by', 'The', 'Dua', 'Brand', 'is', 'a', 'Floral', 'Fruity', 'fragrance', 'for', 'women.', 'This', 'is', 'a', 'new', 'fragrance.', 'Femme', 'Voyage', 'was', 'launched', 'in', '2022.']",https://www.fragrantica.com/perfume/The-Dua-Brand/Femme-Voyage-80759.html,https://fimgs.net/mdimg/perfume/375x500.80759.jpg,80759,madagascarvanilla powderynotes rosepetals whitemusk jasmine honey sugar pear lime femme voyage by the dua brand is a floral fruity fragrance for women. this is a new fragrance. femme voyage was launched in 2022. the dua brand perfumes and colognes
57540,Passion Beverly Hills Polo Club for women,"['beverly', 'hills', 'polo', 'club', 'perfumes', 'and', 'colognes']","Blackcurrant, Redfruits, Litchi, Peony, Rose, Seanotes, Musk, Patchouli, Sandalwood","['Passion', 'by', 'Beverly', 'Hills', 'Polo', 'Club', 'is', 'a', 'Chypre', 'Floral', 'fragrance', 'for', 'women.', 'Passion', 'was', 'launched', 'in', '2018.', 'Top', 'notes', 'are', 'Black', 'Currant,', 'Red', 'Fruits', 'and', 'Litchi;', 'middle', 'notes', 'are', 'Peony,', 'Rose', 'and', 'Sea', 'Notes;', 'base', 'notes', 'are', 'Musk,', 'Patchouli', 'and', 'Sandalwood.']",https://www.fragrantica.com/perfume/Beverly-Hills-Polo-Club/Passion-56609.html,https://fimgs.net/mdimg/perfume/375x500.56609.jpg,56609,"blackcurrant redfruits litchi peony rose seanotes musk patchouli sandalwood passion by beverly hills polo club is a chypre floral fragrance for women. passion was launched in 2018. top notes are black currant, red fruits and litchi; middle notes are peony, rose and sea notes; base notes are musk, patchouli and sandalwood. beverly hills polo club perfumes and colognes"
39646,Caramelo Jacques Battini for women,"['jacques', 'battini', 'perfumes', 'and', 'colognes']","Peach, Blackcurrant, Geranium, Bergamot, Greennotes, Ylang-Ylang, Rose, Jasmine, Sandalwood, Musk, Vanilla, Oakmoss","['Caramelo', 'by', 'Jacques', 'Battini', 'is', 'a', 'fragrance', 'for', 'women.', 'Caramelo', 'was', 'launched', 'in', '2018.', 'Top', 'notes', 'are', 'Peach,', 'Black', 'Currant,', 'Geranium,', 'Bergamot', 'and', 'Green', 'Notes;', 'middle', 'notes', 'are', 'Ylang-Ylang,', 'Rose', 'and', 'Jasmine;', 'base', 'notes', 'are', 'Sandalwood,', 'Musk,', 'Vanilla', 'and', 'Oakmoss.']",https://www.fragrantica.com/perfume/Jacques-Battini/Caramelo-49716.html,https://fimgs.net/mdimg/perfume/375x500.49716.jpg,49716,"peach blackcurrant geranium bergamot greennotes ylang-ylang rose jasmine sandalwood musk vanilla oakmoss caramelo by jacques battini is a fragrance for women. caramelo was launched in 2018. top notes are peach, black currant, geranium, bergamot and green notes; middle notes are ylang-ylang, rose and jasmine; base notes are sandalwood, musk, vanilla and oakmoss. jacques battini perfumes and colognes"
24407,The Sweetest of Winter 寒香冬梅 RE CLASSIFIED RE调香室 for women and men,"['re', 'classified', 're调香室', 'perfumes', 'and', 'colognes']","Appleblossom, Bergamot, Jasmine, Ylang-Ylang, Vanilla, Sandalwood","['The', 'Sweetest', 'of', 'Winter', '寒香冬梅', 'by', 'RE', 'CLASSIFIED', 'RE调香室', 'is', 'a', 'Floral', 'fragrance', 'for', 'women', 'and', 'men.', 'The', 'Sweetest', 'of', 'Winter', '寒香冬梅', 'was', 'launched', 'in', '2014.', 'Top', 'notes', 'are', 'Apple', 'Blossom', 'and', 'Bergamot;', 'middle', 'notes', 'are', 'Jasmine', 'and', 'Ylang-Ylang;', 'base', 'notes', 'are', 'Vanilla', 'and', 'Sandalwood.']",https://www.fragrantica.com/perfume/RE-CLASSIFIED-RE-diao-xiang-shi/The-Sweetest-of-Winter-han-xiang-dong-mei-33299.html,https://fimgs.net/mdimg/perfume/375x500.33299.jpg,33299,appleblossom bergamot jasmine ylang-ylang vanilla sandalwood the sweetest of winter 寒香冬梅 by re classified re调香室 is a floral fragrance for women and men. the sweetest of winter 寒香冬梅 was launched in 2014. top notes are apple blossom and bergamot; middle notes are jasmine and ylang-ylang; base notes are vanilla and sandalwood. re classified re调香室 perfumes and colognes
39816,Cinnamon Super Red Hot Just Scent for women and men,"['just', 'scent', 'perfumes', 'and', 'colognes']","Cinnamon, Pepper, Vanilla","['Cinnamon', 'Super', 'Red', 'Hot', 'by', 'Just', 'Scent', 'is', 'a', 'Amber', 'fragrance', 'for', 'women', 'and', 'men.', 'Cinnamon', 'Super', 'Red', 'Hot', 'was', 'launched', 'in', '2013.']",https://www.fragrantica.com/perfume/Just-Scent/Cinnamon-Super-Red-Hot-58815.html,https://fimgs.net/mdimg/perfume/375x500.58815.jpg,58815,cinnamon pepper vanilla cinnamon super red hot by just scent is a amber fragrance for women and men. cinnamon super red hot was launched in 2013. just scent perfumes and colognes
60007,As Above So Below Régime des Fleurs for women and men,"['régime', 'des', 'fleurs', 'perfumes', 'and', 'colognes']","Lavender, Earthynotes, Geosmin, Musk, Jasmine","['As', 'Above', 'So', 'Below', 'by', 'Régime', 'des', 'Fleurs', 'is', 'a', 'Aromatic', 'fragrance', 'for', 'women', 'and', 'men.', 'As', 'Above', 'So', 'Below', 'was', 'launched', 'during', 'the', ""2019's."", 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Mark', 'Sage.']",https://www.fragrantica.com/perfume/Regime-des-Fleurs/As-Above-So-Below-54486.html,https://fimgs.net/mdimg/perfume/375x500.54486.jpg,54486,lavender earthynotes geosmin musk jasmine as above so below by régime des fleurs is a aromatic fragrance for women and men. as above so below was launched during the 2019's. the nose behind this fragrance is mark sage. régime des fleurs perfumes and colognes
52000,Alina Thera Cosméticos for women,"['thera', 'cosméticos', 'perfumes', 'and', 'colognes']","Orange, Neroli, Floralnotes, Orangeblossom, Jasmine, Gardenia, Honey, Amber, Patchouli","['Alina', 'by', 'Thera', 'Cosméticos', 'is', 'a', 'Floral', 'Woody', 'Musk', 'fragrance', 'for', 'women.', 'Alina', 'was', 'launched', 'in', '2011.', 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Mário', 'Torri', 'Neto.', 'Top', 'notes', 'are', 'Orange,', 'Neroli', 'and', 'Floral', 'Notes;', 'middle', 'notes', 'are', 'Orange', 'Blossom,', 'Jasmine', 'and', 'Gardenia;', 'base', 'notes', 'are', 'Honey,', 'Amber', 'and', 'Patchouli.']",https://www.fragrantica.com/perfume/Thera-Cosmeticos/Alina-57195.html,https://fimgs.net/mdimg/perfume/375x500.57195.jpg,57195,"orange neroli floralnotes orangeblossom jasmine gardenia honey amber patchouli alina by thera cosméticos is a floral woody musk fragrance for women. alina was launched in 2011. the nose behind this fragrance is mário torri neto. top notes are orange, neroli and floral notes; middle notes are orange blossom, jasmine and gardenia; base notes are honey, amber and patchouli. thera cosméticos perfumes and colognes"
35806,Something Blue Extrait de Parfum Dofta for women and men,"['dofta', 'perfumes', 'and', 'colognes']","Lavender, Rose, Violet, Musk, Cinnamon, Tonkabean, Sandalwood","['Something', 'Blue', 'Extrait', 'de', 'Parfum', 'by', 'Dofta', 'is', 'a', 'Floral', 'Woody', 'Musk', 'fragrance', 'for', 'women', 'and', 'men.', 'Something', 'Blue', 'Extrait', 'de', 'Parfum', 'was', 'launched', 'in', '2018.', 'Top', 'notes', 'are', 'Lavender,', 'Rose', 'and', 'Violet;', 'middle', 'notes', 'are', 'Musk', 'and', 'Cinnamon;', 'base', 'notes', 'are', 'Tonka', 'Bean', 'and', 'Sandalwood.']",https://www.fragrantica.com/perfume/Dofta/Something-Blue-Extrait-de-Parfum-49996.html,https://fimgs.net/mdimg/perfume/375x500.49996.jpg,49996,"lavender rose violet musk cinnamon tonkabean sandalwood something blue extrait de parfum by dofta is a floral woody musk fragrance for women and men. something blue extrait de parfum was launched in 2018. top notes are lavender, rose and violet; middle notes are musk and cinnamon; base notes are tonka bean and sandalwood. dofta perfumes and colognes"
